region	chr	midPos	Nsites
(114,985)(121099,122080)(100000,150000)	JASDQU010100089.1	125000	873	0.664191
(293,417)(288517,288644)(250000,300000)	JASDQU010100090.1	275000	126	0.034624
(418,1049)(398539,399182)(350000,400000)	JASDQU010100090.1	375000	633	0.282950
(1050,2195)(440089,444252)(400000,450000)	JASDQU010100090.1	425000	1147	0.136521
(255,382)(387440,387568)(350000,400000)	JASDQU010100091.1	375000	129	0.033749
(383,678)(629472,649999)(600000,650000)	JASDQU010100091.1	625000	297	0.075465
(822,1158)(102906,134827)(100000,150000)	JASDQU010100096.1	125000	338	0.287315
(1159,1645)(399513,399999)(350000,400000)	JASDQU010100096.1	375000	488	0.691751
(1646,5507)(400000,404405)(400000,450000)	JASDQU010100096.1	425000	3863	0.317207
(12,318)(258965,259281)(250000,300000)	JASDQU010100098.1	275000	308	0.030689
(2361,4056)(159788,176779)(150000,200000)	JASDQU010100102.1	175000	1697	0.628850
(28,166)(332380,332527)(300000,350000)	JASDQU010100106.1	325000	140	0.481622
(811,2685)(376070,399999)(350000,400000)	JASDQU010100108.1	375000	1876	0.280595
(2686,3168)(400000,400483)(400000,450000)	JASDQU010100108.1	425000	484	0.342041
(44,771)(326800,327541)(300000,350000)	JASDQU010100109.1	325000	729	0.072506
(772,1192)(598036,598456)(550000,600000)	JASDQU010100109.1	575000	422	0.030761
(1193,1464)(675892,676421)(650000,700000)	JASDQU010100109.1	675000	273	0.553923
(1465,1593)(723574,723718)(700000,750000)	JASDQU010100109.1	725000	130	-0.013806
(448,1071)(825163,836772)(800000,850000)	JASDQU010100113.1	825000	625	0.065099
(1615,3641)(380999,394157)(350000,400000)	JASDQU010100118.1	375000	2028	0.289543
(3642,4363)(414453,415177)(400000,450000)	JASDQU010100118.1	425000	723	0.480904
(4364,4777)(464487,465681)(450000,500000)	JASDQU010100118.1	475000	415	0.470489
(4778,5185)(515567,515977)(500000,550000)	JASDQU010100118.1	525000	409	0.036505
(5186,5310)(565227,565449)(550000,600000)	JASDQU010100118.1	575000	126	0.058822
(250,374)(310086,310447)(300000,350000)	JASDQU010100120.1	325000	126	0.044164
(375,3915)(355062,358983)(350000,400000)	JASDQU010100120.1	375000	3542	0.131892
(3916,5334)(748004,749948)(700000,750000)	JASDQU010100120.1	725000	1420	0.163334
(5335,6690)(750353,752259)(750000,800000)	JASDQU010100120.1	775000	1357	0.425555
(242,1312)(337613,340691)(300000,350000)	JASDQU010100121.1	325000	1072	0.604237
(23,369)(556433,556936)(550000,600000)	JASDQU010100128.1	575000	348	0.014373
(338,1583)(123845,125201)(100000,150000)	JASDQU010100129.1	125000	1247	0.363113
(1584,4012)(192210,194695)(150000,200000)	JASDQU010100129.1	175000	2430	0.214862
(4274,5587)(434501,436765)(400000,450000)	JASDQU010100136.1	425000	1315	0.602882
(5588,5598)(521599,531730)(500000,550000)	JASDQU010100136.1	525000	12	0.050290
(5599,6426)(559222,560051)(550000,600000)	JASDQU010100136.1	575000	829	0.522848
(6427,7103)(611490,612190)(600000,650000)	JASDQU010100136.1	625000	678	0.005637
(7104,8557)(719753,749999)(700000,750000)	JASDQU010100136.1	725000	1455	0.158484
(428,642)(150120,150335)(150000,200000)	JASDQU010100139.1	175000	216	0.224344
(147,902)(500028,514030)(500000,550000)	JASDQU010100141.1	525000	757	0.022438
(903,4989)(1067385,1078653)(1050000,1100000)	JASDQU010100141.1	1075000	4088	0.334674
(997,1163)(181882,182324)(150000,200000)	JASDQU010100142.1	175000	168	0.090779
(1164,1320)(227205,227502)(200000,250000)	JASDQU010100142.1	225000	158	0.065639
(1321,1566)(347470,347718)(300000,350000)	JASDQU010100142.1	325000	247	0.046265
(1567,2445)(463713,474199)(450000,500000)	JASDQU010100142.1	475000	880	0.121293
(104,1088)(248273,249274)(200000,250000)	JASDQU010100145.1	225000	986	0.702026
(1089,1809)(251133,251861)(250000,300000)	JASDQU010100145.1	275000	722	0.563340
(2109,2786)(271287,271970)(250000,300000)	JASDQU010100148.1	275000	679	0.199562
(2787,3325)(318793,319422)(300000,350000)	JASDQU010100148.1	325000	540	0.268856
(28,301)(707011,707482)(700000,750000)	JASDQU010100149.1	725000	275	-0.011411
(302,946)(895554,896202)(850000,900000)	JASDQU010100149.1	875000	646	0.358181
(1,141)(342260,342400)(300000,350000)	JASDQU010100151.1	325000	142	0.031792
(142,1324)(383981,387260)(350000,400000)	JASDQU010100151.1	375000	1184	0.425101
(1325,1782)(449034,449510)(400000,450000)	JASDQU010100151.1	425000	459	0.073179
(1783,1903)(535933,536058)(500000,550000)	JASDQU010100151.1	525000	122	0.134939
(37,4286)(200924,234789)(200000,250000)	JASDQU010100154.1	225000	4251	0.120667
(398,1075)(188151,188863)(150000,200000)	JASDQU010100155.1	175000	679	0.528476
(942,1099)(75735,75937)(50000,100000)	JASDQU010100159.1	75000	159	0.323031
(465,1699)(237718,249290)(200000,250000)	JASDQU010100161.1	225000	1236	0.503213
(80,1195)(155569,156712)(150000,200000)	JASDQU010100164.1	175000	1117	0.181287
(1199,1266)(580359,580432)(550000,600000)	JASDQU010100170.1	575000	69	0.091324
(1267,2399)(834572,835789)(800000,850000)	JASDQU010100170.1	825000	1134	0.600699
(2400,2472)(899927,899999)(850000,900000)	JASDQU010100170.1	875000	74	0.176003
(2473,3338)(900000,900872)(900000,950000)	JASDQU010100170.1	925000	867	0.319827
(729,1216)(669624,689280)(650000,700000)	JASDQU010100172.1	675000	489	0.183431
(1067,1827)(356542,357305)(350000,400000)	JASDQU010100175.1	375000	762	0.604807
(1828,2142)(422724,423060)(400000,450000)	JASDQU010100175.1	425000	316	0.663383
(2143,2949)(457889,458789)(450000,500000)	JASDQU010100175.1	475000	808	0.629469
(725,933)(76265,76564)(50000,100000)	JASDQU010100179.1	75000	210	0.483860
(934,5899)(190204,199999)(150000,200000)	JASDQU010100179.1	175000	4967	0.119854
(46,301)(394339,394604)(350000,400000)	JASDQU010100196.1	375000	257	0.042777
(1406,1517)(212130,212258)(200000,250000)	JASDQU010100198.1	225000	113	0.080713
(1518,2967)(307699,309413)(300000,350000)	JASDQU010100198.1	325000	1451	0.566012
(2968,4884)(365466,367993)(350000,400000)	JASDQU010100198.1	375000	1918	0.759315
(4885,4927)(432576,432621)(400000,450000)	JASDQU010100198.1	425000	44	0.128319
(435,532)(510895,517320)(500000,550000)	JASDQU010100214.1	525000	99	0.045208
(533,764)(650023,650369)(650000,700000)	JASDQU010100214.1	675000	233	0.133012
(759,943)(124736,125100)(100000,150000)	JASDQU010100215.1	125000	186	0.019617
(944,3758)(234638,249999)(200000,250000)	JASDQU010100215.1	225000	2816	0.298488
(3759,4930)(250000,272712)(250000,300000)	JASDQU010100215.1	275000	1173	0.054373
(4931,5711)(508715,509504)(500000,550000)	JASDQU010100215.1	525000	782	0.464004
(5712,6502)(836235,838006)(800000,850000)	JASDQU010100215.1	825000	792	0.647942
(6503,6780)(1151360,1151702)(1150000,1200000)	JASDQU010100215.1	1175000	279	0.184512
(8,709)(64382,65098)(50000,100000)	JASDQU010100218.1	75000	703	0.391274
(710,901)(233537,233733)(200000,250000)	JASDQU010100218.1	225000	193	0.073340
(902,2005)(329561,330676)(300000,350000)	JASDQU010100218.1	325000	1105	0.194658
(5691,5968)(419267,419556)(400000,450000)	JASDQU010100241.1	425000	279	0.030941
(927,1054)(502612,502744)(500000,550000)	JASDQU010100242.1	525000	129	0.031954
(1213,1616)(276343,276870)(250000,300000)	JASDQU010100249.1	275000	405	0.031981
(1013,2332)(164677,173767)(150000,200000)	JASDQU010100251.1	175000	1321	0.182385
(185,340)(339837,340139)(300000,350000)	JASDQU010100253.1	325000	157	0.042041
(1067,1081)(749326,749342)(700000,750000)	JASDQU010100254.1	725000	16	0.054701
(73,166)(486239,486332)(450000,500000)	JASDQU010100256.1	475000	95	0.073644
(882,5750)(200000,217757)(200000,250000)	JASDQU010100259.1	225000	4870	0.001566
(61,1158)(97161,98873)(50000,100000)	JASDQU010100260.1	75000	1099	0.048143
(1159,1432)(104136,104644)(100000,150000)	JASDQU010100260.1	125000	275	0.004288
(1433,1882)(269108,269571)(250000,300000)	JASDQU010100260.1	275000	451	0.331106
(1883,1990)(468769,468883)(450000,500000)	JASDQU010100260.1	475000	109	0.063756
(170,798)(277370,278147)(250000,300000)	JASDQU010100261.1	275000	630	0.030947
(799,2089)(359644,384711)(350000,400000)	JASDQU010100261.1	375000	1292	0.087577
(2090,3285)(506469,537359)(500000,550000)	JASDQU010100261.1	525000	1197	0.069379
(508,877)(76361,77111)(50000,100000)	JASDQU010100263.1	75000	371	0.193117
(878,912)(284864,284916)(250000,300000)	JASDQU010100263.1	275000	36	0.093587
(615,1561)(321107,349999)(300000,350000)	JASDQU010100265.1	325000	948	0.075217
(1562,2456)(350000,358839)(350000,400000)	JASDQU010100265.1	375000	896	0.093721
(2457,3905)(427795,439833)(400000,450000)	JASDQU010100265.1	425000	1450	0.240102
(618,653)(220402,220437)(200000,250000)	JASDQU010100266.1	225000	37	0.056986
(654,1018)(475160,475542)(450000,500000)	JASDQU010100266.1	475000	366	0.006232
(1070,1714)(246367,247021)(200000,250000)	JASDQU010100268.1	225000	646	0.257230
(177,1217)(248403,249491)(200000,250000)	JASDQU010100270.1	225000	1042	0.761378
(1218,1238)(374823,374852)(350000,400000)	JASDQU010100270.1	375000	22	0.021848
(14,559)(157055,157685)(150000,200000)	JASDQU010100271.1	175000	547	0.333728
(1156,1850)(87672,88369)(50000,100000)	JASDQU010100272.1	75000	696	0.600657
(1851,2373)(165469,166029)(150000,200000)	JASDQU010100272.1	175000	524	0.050450
(142,893)(186072,186824)(150000,200000)	JASDQU010100280.1	175000	753	0.589033
(481,1435)(69527,70509)(50000,100000)	JASDQU010100282.1	75000	956	0.265257
(777,837)(418863,418923)(400000,450000)	JASDQU010100283.1	425000	62	0.071727
(838,1739)(454715,455683)(450000,500000)	JASDQU010100283.1	475000	903	0.501647
(2603,3434)(135544,136378)(100000,150000)	JASDQU010100298.1	125000	833	0.664394
(3435,6386)(159546,163506)(150000,200000)	JASDQU010100298.1	175000	2953	0.629959
(899,1963)(262475,265162)(250000,300000)	JASDQU010100302.1	275000	1066	0.044822
(1964,2232)(518247,518619)(500000,550000)	JASDQU010100302.1	525000	270	0.566738
(2233,5561)(593932,599999)(550000,600000)	JASDQU010100302.1	575000	3330	0.669910
(152,1695)(161025,163603)(150000,200000)	JASDQU010100304.1	175000	1545	0.604155
(1696,1824)(203831,203979)(200000,250000)	JASDQU010100304.1	225000	130	0.363677
(1825,2010)(332555,349314)(300000,350000)	JASDQU010100304.1	325000	187	0.925751
(949,4299)(208715,212087)(200000,250000)	JASDQU010100312.1	225000	3352	0.299926
(4300,5030)(475008,490159)(450000,500000)	JASDQU010100312.1	475000	732	0.091009
(632,769)(207067,207205)(200000,250000)	JASDQU010100314.1	225000	139	0.125431
(16,1030)(496011,499028)(450000,500000)	JASDQU010100317.1	475000	1016	0.179930
(1031,1836)(513758,528377)(500000,550000)	JASDQU010100317.1	525000	807	0.784490
(50,192)(172110,172253)(150000,200000)	JASDQU010100318.1	175000	144	0.019737
(19,157)(741234,741376)(700000,750000)	JASDQU010100321.1	725000	140	0.362650
(80,981)(260516,261454)(250000,300000)	JASDQU010100323.1	275000	903	0.453447
(646,753)(173865,179731)(150000,200000)	JASDQU010100325.1	175000	109	0.093692
(754,1249)(215947,216482)(200000,250000)	JASDQU010100325.1	225000	497	0.882938
(129,192)(63213,63301)(50000,100000)	JASDQU010100331.1	75000	65	-0.001349
(193,241)(201533,206849)(200000,250000)	JASDQU010100331.1	225000	50	0.055280
(242,1241)(303565,304603)(300000,350000)	JASDQU010100331.1	325000	1001	0.384988
(1242,2668)(365400,383215)(350000,400000)	JASDQU010100331.1	375000	1428	0.170299
(2669,6070)(402531,409956)(400000,450000)	JASDQU010100331.1	425000	3403	0.229130
(6071,6121)(475772,475825)(450000,500000)	JASDQU010100331.1	475000	52	0.146342
(705,1331)(333944,334604)(300000,350000)	JASDQU010100336.1	325000	628	0.718197
(1332,1759)(441802,442229)(400000,450000)	JASDQU010100336.1	425000	429	0.597432
(1760,1855)(579171,579347)(550000,600000)	JASDQU010100336.1	575000	97	0.476430
(939,1788)(107616,108495)(100000,150000)	JASDQU010100337.1	125000	851	0.295579
(630,841)(71104,71569)(50000,100000)	JASDQU010100341.1	75000	213	0.040839
(842,1216)(304282,306791)(300000,350000)	JASDQU010100341.1	325000	376	0.054380
(12,145)(99504,99648)(50000,100000)	JASDQU010100342.1	75000	135	0.046000
(1323,1543)(645457,646104)(600000,650000)	JASDQU010100343.1	625000	222	0.326673
(3566,8740)(200000,214610)(200000,250000)	JASDQU010100345.1	225000	5176	0.660166
(29,1545)(416882,419012)(400000,450000)	JASDQU010100350.1	425000	1518	0.159765
(656,1409)(58090,95124)(50000,100000)	JASDQU010100359.1	75000	755	0.103076
(1410,1455)(101145,101198)(100000,150000)	JASDQU010100359.1	125000	47	0.160347
(1456,3392)(209450,249136)(200000,250000)	JASDQU010100359.1	225000	1938	0.091950
(70,200)(103040,103170)(100000,150000)	JASDQU010100362.1	125000	132	0.117652
(201,2995)(159289,163968)(150000,200000)	JASDQU010100362.1	175000	2796	0.334198
(424,633)(356590,357004)(350000,400000)	JASDQU010100367.1	375000	211	0.106525
(634,3166)(408089,415570)(400000,450000)	JASDQU010100367.1	425000	2534	0.242044
(1452,2740)(295545,297734)(250000,300000)	JASDQU010100371.1	275000	1290	0.647212
(7,1259)(208094,248405)(200000,250000)	JASDQU010100372.1	225000	1254	0.054354
(791,1520)(151780,152514)(150000,200000)	JASDQU010100375.1	175000	731	0.434774
(1521,1747)(337038,337275)(300000,350000)	JASDQU010100375.1	325000	228	0.041502
(1748,1907)(356003,356302)(350000,400000)	JASDQU010100375.1	375000	161	0.152834
(620,1315)(194016,194717)(150000,200000)	JASDQU010100380.1	175000	697	0.111170
(1316,1443)(251647,253134)(250000,300000)	JASDQU010100380.1	275000	129	0.054315
(1444,3642)(394944,398433)(350000,400000)	JASDQU010100380.1	375000	2200	0.367149
(3643,5545)(401977,403923)(400000,450000)	JASDQU010100380.1	425000	1904	0.124218
(3005,3049)(52073,52118)(50000,100000)	JASDQU010100383.1	75000	46	0.052086
(549,3417)(144374,149033)(100000,150000)	JASDQU010100384.1	125000	2870	0.700516
(3418,4358)(284113,285602)(250000,300000)	JASDQU010100384.1	275000	942	0.528169
(4359,4379)(384521,384550)(350000,400000)	JASDQU010100384.1	375000	22	0.098538
(384,1607)(155074,171837)(150000,200000)	JASDQU010100387.1	175000	1225	0.414760
(1608,1955)(210483,210912)(200000,250000)	JASDQU010100387.1	225000	349	0.315883
(1753,1933)(346865,347106)(300000,350000)	JASDQU010100389.1	325000	182	0.047138
(643,991)(401785,402180)(400000,450000)	JASDQU010100397.1	425000	350	0.066675
(54,121)(136672,136765)(100000,150000)	JASDQU010100398.1	125000	69	0.034948
(122,739)(482707,494633)(450000,500000)	JASDQU010100398.1	475000	619	0.027205
(740,1792)(611910,613044)(600000,650000)	JASDQU010100398.1	625000	1054	0.526028
(530,1654)(194552,195700)(150000,200000)	JASDQU010100409.1	175000	1126	0.823702
(1655,2812)(263297,277657)(250000,300000)	JASDQU010100409.1	275000	1159	0.273924
(64,1516)(62637,64258)(50000,100000)	JASDQU010100416.1	75000	1454	0.193179
(1517,2158)(236551,237218)(200000,250000)	JASDQU010100416.1	225000	643	0.224331
(2159,4111)(282080,284711)(250000,300000)	JASDQU010100416.1	275000	1954	0.306644
(74,133)(599835,599895)(550000,600000)	JASDQU010100418.1	575000	61	0.080848
(635,840)(98956,99374)(50000,100000)	JASDQU010100419.1	75000	207	0.048735
(841,1476)(103505,104150)(100000,150000)	JASDQU010100419.1	125000	637	0.577247
(1477,1490)(191174,191196)(150000,200000)	JASDQU010100419.1	175000	15	0.050661
(1491,1994)(301270,301890)(300000,350000)	JASDQU010100419.1	325000	505	0.039763
(1995,2657)(444085,444781)(400000,450000)	JASDQU010100419.1	425000	664	0.562207
(2658,2968)(469003,484598)(450000,500000)	JASDQU010100419.1	475000	312	0.345540
(90,388)(104059,106806)(100000,150000)	JASDQU010100420.1	125000	300	0.079591
(352,513)(375994,376177)(350000,400000)	JASDQU010100429.1	375000	163	0.059177
(333,922)(374678,375333)(350000,400000)	JASDQU010100431.1	375000	591	0.074414
(575,1690)(427101,428221)(400000,450000)	JASDQU010100439.1	425000	1117	0.388130
(1691,1753)(513266,513329)(500000,550000)	JASDQU010100439.1	525000	64	0.014384
(1754,2329)(595332,595907)(550000,600000)	JASDQU010100439.1	575000	577	0.080804
(595,1742)(113835,115002)(100000,150000)	JASDQU010100440.1	125000	1149	0.672803
(1743,2114)(199351,199809)(150000,200000)	JASDQU010100440.1	175000	373	0.239771
(2115,2807)(237759,238455)(200000,250000)	JASDQU010100440.1	225000	694	0.696212
(2808,2816)(256980,257084)(250000,300000)	JASDQU010100440.1	275000	10	0.039630
(2817,2914)(410166,410282)(400000,450000)	JASDQU010100440.1	425000	99	0.101571
(2915,3517)(697776,698407)(650000,700000)	JASDQU010100440.1	675000	604	0.397057
(517,1261)(159884,162773)(150000,200000)	JASDQU010100442.1	175000	746	0.021765
(1262,1673)(350136,350547)(350000,400000)	JASDQU010100442.1	375000	413	0.022484
(1674,3118)(975384,985111)(950000,1000000)	JASDQU010100442.1	975000	1446	0.296880
(3119,3128)(1035593,1035648)(1000000,1050000)	JASDQU010100442.1	1025000	11	0.083930
(2168,4288)(451599,458047)(450000,500000)	JASDQU010100450.1	475000	2122	0.508546
(242,570)(401205,406746)(400000,450000)	JASDQU010100453.1	425000	330	0.040611
(571,797)(568455,568742)(550000,600000)	JASDQU010100453.1	575000	228	0.474698
(798,822)(719325,719390)(700000,750000)	JASDQU010100453.1	725000	26	0.049283
(823,910)(892325,892445)(850000,900000)	JASDQU010100453.1	875000	89	0.070218
(382,1259)(350280,351220)(350000,400000)	JASDQU010100455.1	375000	879	0.247675
(1008,1031)(154260,154300)(150000,200000)	JASDQU010100456.1	175000	25	0.394696
(70,84)(311877,311903)(300000,350000)	JASDQU010100466.1	325000	16	0.177032
(85,1151)(352841,354034)(350000,400000)	JASDQU010100466.1	375000	1068	0.387838
(1152,1384)(405969,406305)(400000,450000)	JASDQU010100466.1	425000	234	0.296790
(1385,1500)(489712,489835)(450000,500000)	JASDQU010100466.1	475000	117	0.729542
(1501,1536)(502424,502537)(500000,550000)	JASDQU010100466.1	525000	37	0.057245
(1241,2290)(463232,464495)(450000,500000)	JASDQU010100467.1	475000	1051	0.246928
(62,379)(253720,280041)(250000,300000)	JASDQU010100468.1	275000	319	0.419256
(862,998)(134176,134312)(100000,150000)	JASDQU010100470.1	125000	138	0.076780
(999,2571)(418502,449999)(400000,450000)	JASDQU010100470.1	425000	1574	0.134663
(2572,3743)(450000,475274)(450000,500000)	JASDQU010100470.1	475000	1173	0.033816
(440,976)(88158,88699)(50000,100000)	JASDQU010100471.1	75000	538	0.533004
(977,1745)(117677,118445)(100000,150000)	JASDQU010100471.1	125000	770	0.298355
(1746,2777)(164468,187831)(150000,200000)	JASDQU010100471.1	175000	1033	0.258821
(2778,2973)(235819,236026)(200000,250000)	JASDQU010100471.1	225000	197	0.495261
(1534,1846)(164871,165334)(150000,200000)	JASDQU010100472.1	175000	314	0.040416
(265,1154)(78392,79330)(50000,100000)	JASDQU010100477.1	75000	891	0.408494
(1155,1738)(435751,436346)(400000,450000)	JASDQU010100477.1	425000	585	0.155593
(1739,1895)(551839,552000)(550000,600000)	JASDQU010100477.1	575000	158	0.039465
(1896,2078)(639027,639216)(600000,650000)	JASDQU010100477.1	625000	184	0.063160
(200,884)(233588,234295)(200000,250000)	JASDQU010100484.1	225000	686	0.292341
(1015,1880)(485885,486777)(450000,500000)	JASDQU010100486.1	475000	867	0.326920
(271,1626)(360739,362146)(350000,400000)	JASDQU010100487.1	375000	1357	0.500466
(405,451)(160514,160564)(150000,200000)	JASDQU010100489.1	175000	48	0.081077
(452,732)(231128,231409)(200000,250000)	JASDQU010100489.1	225000	282	0.046724
(1539,3296)(62401,64277)(50000,100000)	JASDQU010100492.1	75000	1759	0.424384
(3297,4393)(143792,144890)(100000,150000)	JASDQU010100492.1	125000	1098	0.008297
(4394,5696)(181128,183188)(150000,200000)	JASDQU010100492.1	175000	1304	0.609893
(800,1550)(252849,253607)(250000,300000)	JASDQU010100497.1	275000	752	0.432901
(56,1535)(89967,91638)(50000,100000)	JASDQU010100498.1	75000	1481	0.790332
(381,743)(221850,222337)(200000,250000)	JASDQU010100499.1	225000	364	0.127411
(23,395)(216324,216704)(200000,250000)	JASDQU010100506.1	225000	374	0.091312
(480,703)(73643,73982)(50000,100000)	JASDQU010100509.1	75000	225	0.037962
(704,792)(106248,106339)(100000,150000)	JASDQU010100509.1	125000	90	0.145283
(793,1551)(589594,590559)(550000,600000)	JASDQU010100509.1	575000	760	0.617955
(71,1637)(325908,327906)(300000,350000)	JASDQU010100516.1	325000	1568	0.473152
(703,1031)(168906,169352)(150000,200000)	JASDQU010100517.1	175000	330	0.232663
(175,227)(700144,700204)(700000,750000)	JASDQU010100519.1	725000	54	0.072311
(228,237)(767841,767853)(750000,800000)	JASDQU010100519.1	775000	11	0.054461
(197,575)(60394,60792)(50000,100000)	JASDQU010100520.1	75000	380	0.786128
(131,939)(153859,154739)(150000,200000)	JASDQU010100521.1	175000	810	0.630500
(940,3082)(404495,448504)(400000,450000)	JASDQU010100521.1	425000	2144	0.643691
(30,172)(77476,77635)(50000,100000)	JASDQU010100529.1	75000	144	0.035367
(173,204)(113684,113734)(100000,150000)	JASDQU010100529.1	125000	33	0.075412
(205,222)(208810,208830)(200000,250000)	JASDQU010100529.1	225000	19	0.149784
(1889,2905)(62673,63792)(50000,100000)	JASDQU010100530.1	75000	1018	0.348475
(2906,2944)(112612,112653)(100000,150000)	JASDQU010100530.1	125000	40	0.060927
(2945,3569)(184836,185465)(150000,200000)	JASDQU010100530.1	175000	626	0.003058
(121,1225)(73266,74585)(50000,100000)	JASDQU010100537.1	75000	1106	0.448651
(1149,1390)(473910,474295)(450000,500000)	JASDQU010100542.1	475000	243	0.013291
(6,283)(341735,342380)(300000,350000)	JASDQU010100543.1	325000	279	0.031158
(13,735)(665809,666552)(650000,700000)	JASDQU010100544.1	675000	724	0.811820
(736,972)(710618,710896)(700000,750000)	JASDQU010100544.1	725000	238	0.523150
(973,1289)(1063609,1064085)(1050000,1100000)	JASDQU010100544.1	1075000	318	0.021872
(371,4590)(310624,336075)(300000,350000)	JASDQU010100547.1	325000	4221	0.815581
(4591,4916)(561074,561416)(550000,600000)	JASDQU010100547.1	575000	327	0.456308
(4917,5000)(618212,618299)(600000,650000)	JASDQU010100547.1	625000	85	0.024762
(5001,5118)(699291,699566)(650000,700000)	JASDQU010100547.1	675000	119	0.089854
(3999,6234)(306477,308800)(300000,350000)	JASDQU010100549.1	325000	2237	0.663100
(1075,1834)(147374,148453)(100000,150000)	JASDQU010100552.1	125000	761	0.076149
(1835,2271)(214664,215141)(200000,250000)	JASDQU010100552.1	225000	438	0.582804
(327,452)(264365,265071)(250000,300000)	JASDQU010100559.1	275000	127	0.050772
(6,1830)(166920,171603)(150000,200000)	JASDQU010100560.1	175000	1826	0.280034
(1831,4257)(202984,205448)(200000,250000)	JASDQU010100560.1	225000	2428	0.503703
(4258,5048)(255758,256556)(250000,300000)	JASDQU010100560.1	275000	792	0.436150
(689,700)(345248,345303)(300000,350000)	JASDQU010100561.1	325000	13	0.052737
(701,912)(479016,479433)(450000,500000)	JASDQU010100561.1	475000	213	0.270573
(913,1143)(653334,653620)(650000,700000)	JASDQU010100561.1	675000	232	0.690722
(292,297)(133267,133275)(100000,150000)	JASDQU010100565.1	125000	7	0.359596
(411,1047)(218411,219562)(200000,250000)	JASDQU010100571.1	225000	638	0.519130
(522,672)(240003,240447)(200000,250000)	JASDQU010100572.1	225000	152	0.043914
(673,1862)(450965,452619)(450000,500000)	JASDQU010100572.1	475000	1191	0.048403
(129,774)(434909,435607)(400000,450000)	JASDQU010100574.1	425000	647	0.408805
(775,1674)(477360,489447)(450000,500000)	JASDQU010100574.1	475000	901	0.138758
(1417,2445)(398515,399558)(350000,400000)	JASDQU010100582.1	375000	1030	0.365942
(196,662)(81491,81995)(50000,100000)	JASDQU010100587.1	75000	468	0.405486
(611,1769)(554195,599690)(550000,600000)	JASDQU010100588.1	575000	1160	0.399834
(1770,2805)(733014,734049)(700000,750000)	JASDQU010100588.1	725000	1037	0.423694
(2806,5312)(766559,769433)(750000,800000)	JASDQU010100588.1	775000	2508	0.196190
(503,1726)(169398,192625)(150000,200000)	JASDQU010100598.1	175000	1225	0.385206
(48,83)(191569,191645)(150000,200000)	JASDQU010100603.1	175000	37	0.092488
(339,680)(68791,69335)(50000,100000)	JASDQU010100604.1	75000	343	0.584435
(99,611)(200701,232780)(200000,250000)	JASDQU010100605.1	225000	514	0.683572
(30,1096)(225029,226102)(200000,250000)	JASDQU010100607.1	225000	1068	0.320772
(1097,1581)(304098,304767)(300000,350000)	JASDQU010100607.1	325000	486	0.036239
(594,1457)(299014,299999)(250000,300000)	JASDQU010100609.1	275000	865	0.066373
(1458,4843)(300000,303974)(300000,350000)	JASDQU010100609.1	325000	3387	0.484093
(4844,4883)(777984,778071)(750000,800000)	JASDQU010100609.1	775000	41	0.070852
(380,819)(178527,178972)(150000,200000)	JASDQU010100620.1	175000	441	0.066309
(1327,2697)(70630,97294)(50000,100000)	JASDQU010100622.1	75000	1372	0.076029
(481,817)(176403,186614)(150000,200000)	JASDQU010100625.1	175000	338	0.100937
(2168,2282)(67578,67719)(50000,100000)	JASDQU010100633.1	75000	116	0.323203
(116,381)(136086,141216)(100000,150000)	JASDQU010100635.1	125000	267	0.032049
(289,548)(220578,220862)(200000,250000)	JASDQU010100636.1	225000	261	0.444160
(144,190)(197449,197624)(150000,200000)	JASDQU010100642.1	175000	48	0.076840
(1642,1652)(131010,131024)(100000,150000)	JASDQU010100643.1	125000	12	0.043995
(524,2050)(179042,181595)(150000,200000)	JASDQU010100646.1	175000	1528	0.243278
(124,975)(52063,79846)(50000,100000)	JASDQU010100647.1	75000	853	0.233963
(38,2623)(361240,388557)(350000,400000)	JASDQU010100648.1	375000	2587	0.614458
(284,1112)(279980,280849)(250000,300000)	JASDQU010100654.1	275000	830	0.390879
(4422,4687)(245277,245547)(200000,250000)	JASDQU010100661.1	225000	267	0.016055
(88,232)(337876,338037)(300000,350000)	JASDQU010100664.1	325000	146	0.070602
(233,1187)(355724,360823)(350000,400000)	JASDQU010100664.1	375000	956	0.379653
(1375,1475)(156416,156516)(150000,200000)	JASDQU010100671.1	175000	102	0.099969
(720,879)(108135,124353)(100000,150000)	JASDQU010100673.1	125000	161	0.088069
(158,575)(77810,78334)(50000,100000)	JASDQU010100678.1	75000	419	0.012549
(576,4842)(359303,364665)(350000,400000)	JASDQU010100678.1	375000	4268	0.307425
(1920,1963)(420918,420977)(400000,450000)	JASDQU010100681.1	425000	45	0.103897
(475,551)(367565,367654)(350000,400000)	JASDQU010100683.1	375000	78	0.073803
(47,4345)(329990,335192)(300000,350000)	JASDQU010100686.1	325000	4300	0.715589
(4346,4748)(352641,363793)(350000,400000)	JASDQU010100686.1	375000	404	0.205277
(4749,5614)(461761,462857)(450000,500000)	JASDQU010100686.1	475000	867	0.033180
(5615,7555)(533900,548790)(500000,550000)	JASDQU010100686.1	525000	1942	0.177661
(7556,8123)(586219,592389)(550000,600000)	JASDQU010100686.1	575000	569	0.046021
(8124,8978)(611705,638881)(600000,650000)	JASDQU010100686.1	625000	856	0.054969
(201,779)(145353,145964)(100000,150000)	JASDQU010100691.1	125000	580	0.478900
